,price,product,category
15,$9.99,"Black Label Natural Hardwood Smoke Microwave Ready Original, Bacon, 12 Ounce",bacon
18,$7.49,"Black Label Natural Hardwood Smoke Original, Bacon, 454 Gram",bacon
19,$7.49,"Black Label Natural Hardwood Smoke Thick Cut, Bacon, 1 Pound",bacon
20,$7.49,"Black Label Naturally Hardwood Smoked Applewood Thick Cut, Bacon, 12 Ounce",bacon
21,$8.99,"Boar's Head Butcher Craft Thick cut, Bacon, 12 Ounce",bacon
22,$11.99,"Boar's Head Butcher Craft Thick Cut, Bacon, 20 Ounce",bacon
25,$3.79,"Bob Evans Maple, Pork Sausage Links, 12 Ounce",bacon
26,$3.79,"Bob Evans Maple, Pork Sausage Patties, 12 Ounce",bacon
27,$4.99,"Bowl & Basket Applewood Smoked, Bacon, 1 Pound",bacon
28,$8.49,"Bowl & Basket Hickory Smoked Tangy, Pork Roll, 24 Ounce",bacon
29,$8.49,"Bowl & Basket Hickory Smoked, Pork Roll, 24 Ounce",bacon
30,$4.99,"Bowl & Basket Lower Sodium Sliced, Bacon, 1 Pound",bacon
31,$4.99,"Bowl & Basket Original, Bacon, 1 Pound",bacon
32,$2.49,"Bowl & Basket Thick Slices Hickory Smoked Mild, Pork Roll, 6 Ounce",bacon
33,$2.49,"Bowl & Basket Thin Slices Mild, Pork Roll, 6 Ounce",bacon
34,$2.49,"Bowl & Basket Thin Slices Tangy, Pork Roll, 6 Ounce",bacon
37,$3.49,"Butterball Lower Sodium, Turkey Bacon, 12 Ounce",bacon
38,$3.49,"Butterball Original, Turkey Bacon, 12 Ounce",bacon
39,$2.49,"Case's Hickory Smoked Mild, Pork Roll, 6 Ounce",bacon
40,$29.99,"case's Pork Roll, 6 Pound",bacon
41,$7.99,"case's Pork Roll, 24 Ounce",bacon
0,$2.99,"Deep River Snacks Krinkle Cut Sour Cream & Onion Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
1,$2.99,"Deep River Snacks Maui Onion Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
2,$2.99,"Deep River Snacks Mesquite BBQ Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
3,$1.59,"Deep River Snacks Mesquite BBQ Kettle Chips, 2 Ounce",chips
4,$1.59,"Deep River Snacks Original Salted Kettle Chips, 2 Ounce",chips
5,$2.99,"Deep River Snacks Original Sea Salt Kettle Cooked, Potato Chips, 5 Ounce",chips
6,$1.59,"Deep River Snacks Rosemary & Olive Oil Kettle Chips, 2 Ounce",chips
